province,district,diff,abs_diff,c_total,p_total,c_valid,c_invalid,c_blank,p_valid,p_invalid,p_blank,c_drive_id,p_drive_id,c_drive_url,p_drive_url,c_k_total,p_k_total,c_match_k,p_match_k,doc_flag
ปทุมธานี,4,-2,2,98894,98896,90836,2539,5519,93513,2473,2910,1Q_vyNlUz5qW6zb0z0g9Voy1r_pPAbI01,177-QHCBiE1ELj_R8926C_W0MIjNwPAlP,https://drive.google.com/file/d/1Q_vyNlUz5qW6zb0z0g9Voy1r_pPAbI01/view,https://drive.google.com/file/d/177-QHCBiE1ELj_R8926C_W0MIjNwPAlP/view,98894,98896,True,True,False
ปัตตานี,4,-2,2,83822,83824,80409,2222,1191,78483,4144,1197,16wAGqiS1-g0wzYu27egDhZQjxXfOK4zZ,1wF_5aY1YXUEK5ty80x5S6ukGsMULAkPE,https://drive.google.com/file/d/16wAGqiS1-g0wzYu27egDhZQjxXfOK4zZ/view,https://drive.google.com/file/d/1wF_5aY1YXUEK5ty80x5S6ukGsMULAkPE/view,83822,83824,True,True,False
ภูเก็ต,1,-2,2,72889,72891,66360,1916,4613,68696,1950,2245,1UL0_qHKvRSmWf0Deo1IwKIIOlDzDzjmd,1nFOsMX_j7gm-5zMbEg-E6NYL-sIt8lt-,https://drive.google.com/file/d/1UL0_qHKvRSmWf0Deo1IwKIIOlDzDzjmd/view,https://drive.google.com/file/d/1nFOsMX_j7gm-5zMbEg-E6NYL-sIt8lt-/view,72889,72891,True,True,True
ร้อยเอ็ด,6,2,2,81281,81279,76554,3087,1640,76819,3194,1266,1MY8F_fKTLk0F7HsQ-D7TTOEmpTNWl28v,1NkTJIcpUBR25oXdGr2MUON17K0NHGf8M,https://drive.google.com/file/d/1MY8F_fKTLk0F7HsQ-D7TTOEmpTNWl28v/view,https://drive.google.com/file/d/1NkTJIcpUBR25oXdGr2MUON17K0NHGf8M/view,81281,81279,True,True,False
ศรีสะเกษ,1,2,2,98770,98768,94666,2365,1739,92842,4099,1827,14TXAj8mlYfj2zdCWQEuVs1kGLmw06_O5,1S9e09zh-G6MWcgjyIX5TZf6hRA_lfKQ-,https://drive.google.com/file/d/14TXAj8mlYfj2zdCWQEuVs1kGLmw06_O5/view,https://drive.google.com/file/d/1S9e09zh-G6MWcgjyIX5TZf6hRA_lfKQ-/view,98770,98768,True,True,False
สงขลา,2,-2,2,82759,82761,78663,1411,2685,78784,1830,2147,1Nh8zcREMw2k0XXfgUaPdavBZt0wlGXuu,1r95PtNsL8GoURxEzyjRLM75O19CDovW9,https://drive.google.com/file/d/1Nh8zcREMw2k0XXfgUaPdavBZt0wlGXuu/view,https://drive.google.com/file/d/1r95PtNsL8GoURxEzyjRLM75O19CDovW9/view,82759,82761,True,True,False
สุรินทร์,2,2,2,95003,95001,89433,3061,2509,88367,4756,1878,16rtG2IsqSAOKHBFWhLvUnjTrtbpRwmJF,1IC1nGO3pebf3RIC6qYuSowi_ynyeUQ8P,https://drive.google.com/file/d/16rtG2IsqSAOKHBFWhLvUnjTrtbpRwmJF/view,https://drive.google.com/file/d/1IC1nGO3pebf3RIC6qYuSowi_ynyeUQ8P/view,95003,95001,True,True,False
อำนาจเจริญ,1,2,2,97677,97675,91024,2940,3713,91168,4066,2441,1NnhGbJYoLzQArnPxF3PuqTgIgsMnPNAo,13riUCR8lfuUO3nU9N41PmicYVHNWMOVI,https://drive.google.com/file/d/1NnhGbJYoLzQArnPxF3PuqTgIgsMnPNAo/view,https://drive.google.com/file/d/13riUCR8lfuUO3nU9N41PmicYVHNWMOVI/view,97677,97675,True,True,False
อุดรธานี,3,2,2,79802,79800,75808,2548,1446,74655,4002,1143,1ZWF0Dwxt3pkyjSF-lVZulTwVDn_neaqe,1wPIoTLIqXsWSjcsokmNKf6WBBW5OBeUb,https://drive.google.com/file/d/1ZWF0Dwxt3pkyjSF-lVZulTwVDn_neaqe/view,https://drive.google.com/file/d/1wPIoTLIqXsWSjcsokmNKf6WBBW5OBeUb/view,79802,79800,True,True,False
เชียงราย,6,-2,2,85892,85894,76481,5544,3867,78227,4825,2842,1eYovEvqkmUziQeMYO3Ce370rkRbnK1ck,1JRMFDXP32gdC5_vUSbC12xESm6NkclUt,https://drive.google.com/file/d/1eYovEvqkmUziQeMYO3Ce370rkRbnK1ck/view,https://drive.google.com/file/d/1JRMFDXP32gdC5_vUSbC12xESm6NkclUt/view,85892,85894,True,True,False
เชียงใหม่,3,-2,2,111503,111505,99756,3901,7846,102183,4359,4963,1cesVQQS5tzwyRw67_TOchEINSZc-XDmU,1qR-n-gNZNsHVYe8G2qXHo0hdB4xNVBqG,https://drive.google.com/file/d/1cesVQQS5tzwyRw67_TOchEINSZc-XDmU/view,https://drive.google.com/file/d/1qR-n-gNZNsHVYe8G2qXHo0hdB4xNVBqG/view,111503,111505,True,True,False
