province,district_number,name,form_type,delta,sum_votes,valid_votes,has_extracted,drive_id,drive_url
"นครราชสีมา","10","นครราชสีมา เขต 10 (บช)","party_list","-20","101567","101587","true","1lUcGZjwlQ-1n3osX8Bq98g1spydLs_qE","https://drive.google.com/file/d/1lUcGZjwlQ-1n3osX8Bq98g1spydLs_qE/view"
"มุกดาหาร","2","มุกดาหาร เขต 2 (บช)","party_list","20","93394","93374","true","1-Kb6C7orOGn7_e0Hb0-H7CslLQTUkH9T","https://drive.google.com/file/d/1-Kb6C7orOGn7_e0Hb0-H7CslLQTUkH9T/view"
"กรุงเทพมหานคร","12","กรุงเทพมหานคร เขต 12 (บช)","party_list","10","106754","106744","true","17kN56fpRgdAKLnClJxTKRA74idHwxMCV","https://drive.google.com/file/d/17kN56fpRgdAKLnClJxTKRA74idHwxMCV/view"
"ระยอง","1","ระยอง เขต 1 (บช)","party_list","10","86337","86327","true","1RxBl92eWFsLYeYnuNys7UwGRub9ODkE3","https://drive.google.com/file/d/1RxBl92eWFsLYeYnuNys7UwGRub9ODkE3/view"
"ร้อยเอ็ด","4","ร้อยเอ็ด เขต 4 (บช)","party_list","6","79297","79291","true","1WMlPUNDl0MMw2FKUkj9S8QOIIciPpJYO","https://drive.google.com/file/d/1WMlPUNDl0MMw2FKUkj9S8QOIIciPpJYO/view"
"ราชบุรี","3","ราชบุรี เขต 3 (บช)","party_list","5","98080","98075","true","1VPSZqWXLeZ-r7i0UgEJe1Anv3cYOM0II","https://drive.google.com/file/d/1VPSZqWXLeZ-r7i0UgEJe1Anv3cYOM0II/view"
"หนองบัวลำภู","3","หนองบัวลำภู เขต 3 (บช)","party_list","5","76807","76802","true","1suatd5eSNP4iRyJnRIc9xiU540_eFunX","https://drive.google.com/file/d/1suatd5eSNP4iRyJnRIc9xiU540_eFunX/view"
"นครสวรรค์","2","นครสวรรค์ เขต 2","constituency","4","96984","96980","true","1XeWHpkeyRO-WChTNBrPJ9cilsVcfQZ7R","https://drive.google.com/file/d/1XeWHpkeyRO-WChTNBrPJ9cilsVcfQZ7R/view"
"พัทลุง","3","พัทลุง เขต 3 (บช)","party_list","3","110887","110884","true","1GiklxDqIMRTEdCAF_Fs2zZdQOHFL8T6J","https://drive.google.com/file/d/1GiklxDqIMRTEdCAF_Fs2zZdQOHFL8T6J/view"
"เพชรบูรณ์","1","เพชรบูรณ์ เขต 1","constituency","-3","80630","80633","true","1LGCrDyvdfyBDnWMYL-oTCzcOReHdZFmC","https://drive.google.com/file/d/1LGCrDyvdfyBDnWMYL-oTCzcOReHdZFmC/view"
"กรุงเทพมหานคร","11","กรุงเทพมหานคร เขต 11","constituency","-1","94993","94994","true","1MEEhXhNx4j9A17_xD92KmQ4e63SmhDpg","https://drive.google.com/file/d/1MEEhXhNx4j9A17_xD92KmQ4e63SmhDpg/view"
"สตูล","1","สตูล เขต 1 (บช)","party_list","-1","81811","81812","true","1HiHbB6MHWusDB87ONAvzTdMB84wX9uQK","https://drive.google.com/file/d/1HiHbB6MHWusDB87ONAvzTdMB84wX9uQK/view"
"สมุทรสาคร","3","สมุทรสาคร เขต 3 (บช)","party_list","-1","76686","76687","true","116MCAtwTSvX8r1ZpO4IsmU__Ecy-SX3i","https://drive.google.com/file/d/116MCAtwTSvX8r1ZpO4IsmU__Ecy-SX3i/view"
