province,district_number,candidate_no,candidate_name,party,votes,drive_id,drive_url
ตรัง,1,1,นายเอกพล ณ พัทลุง,ภูมิใจไทย,35584,1Q1F0wnsM3knJdlwrj9qVfACFUyRRKU2y,https://drive.google.com/file/d/1Q1F0wnsM3knJdlwrj9qVfACFUyRRKU2y/view
ตรัง,2,4,นายทวี สุระบาล,ภูมิใจไทย,42668,1ySBEX4zLuxtOgmriabNvdt9eAppbwEfA,https://drive.google.com/file/d/1ySBEX4zLuxtOgmriabNvdt9eAppbwEfA/view
ตรัง,3,5,นายกฤตย์อิชย์ ภาคย์อิชณน์,ประชาธิปัตย์,46916,1Vhwsmt8VIVMt8TAcQyhXk6u2NLPoGpOZ,https://drive.google.com/file/d/1Vhwsmt8VIVMt8TAcQyhXk6u2NLPoGpOZ/view
ตรัง,4,2,นายกาญจน์ ตั้งปอง,ประชาธิปัตย์,50809,1av9wvnXH5jxyRGssfIAVZePZMYMbKIkF,https://drive.google.com/file/d/1av9wvnXH5jxyRGssfIAVZePZMYMbKIkF/view
ตราด,1,1,นายพิชานนท์ อิงประสาร,ภูมิใจไทย,66399,1jz-0kVy9dA3AH5EAzo4iPBP0MpfwO1Gw,https://drive.google.com/file/d/1jz-0kVy9dA3AH5EAzo4iPBP0MpfwO1Gw/view
ตาก,1,1,นายธนัสถ์ ทวีเกื้อกูลกิจ,ภูมิใจไทย,37819,1MAy5f78uCbD9OmYgEURKvMha3ql7qBKg,https://drive.google.com/file/d/1MAy5f78uCbD9OmYgEURKvMha3ql7qBKg/view
ตาก,2,2,นายชิงชัย ก่อประภากิจ,กล้าธรรม,25259,14OLeBu0jiQhxyVdV9_Rlo29N-dYnlhVj,https://drive.google.com/file/d/14OLeBu0jiQhxyVdV9_Rlo29N-dYnlhVj/view
ตาก,3,6,นายภาคภูมิ บูลย์ประมุข,กล้าธรรม,30644,1KIoQKdn5e64suspSX-eAp5iWXNVeWSHl,https://drive.google.com/file/d/1KIoQKdn5e64suspSX-eAp5iWXNVeWSHl/view
นครนายก,1,2,นายปิยวัฒน์ กิตติธเนศวร,กล้าธรรม,33707,1CwSaIrN8aqGRbkJ6FzVTrnasSp0zJYQv,https://drive.google.com/file/d/1CwSaIrN8aqGRbkJ6FzVTrnasSp0zJYQv/view
นครนายก,2,6,นายเกรียงไกร กิตติธเนศวร,ภูมิใจไทย,34897,1NLKZCY9roqPgmSVUezIiZmTDi-4T210_,https://drive.google.com/file/d/1NLKZCY9roqPgmSVUezIiZmTDi-4T210_/view
นครปฐม,1,8,นายศุภโชค ศรีสุขจร,ภูมิใจไทย,57347,1UmRDl0Jvn80w1JHRCNpE-dhsdZfe19iB,https://drive.google.com/file/d/1UmRDl0Jvn80w1JHRCNpE-dhsdZfe19iB/view
นครปฐม,2,3,พันโท สินธพ แก้วพิจิตร,กล้าธรรม,44487,1uxiaiKqO4UDjeCUcn8RmFYYV8XFoY80P,https://drive.google.com/file/d/1uxiaiKqO4UDjeCUcn8RmFYYV8XFoY80P/view
นครปฐม,3,6,นายพาณุวัฒณ์ สะสมทรัพย์,ภูมิใจไทย,48099,1yDnIyptGZaNcCmVc4D35AxSFBjmYXF57,https://drive.google.com/file/d/1yDnIyptGZaNcCmVc4D35AxSFBjmYXF57/view
นครปฐม,4,8,พันเอก สุขชาต สะสมทรัพย์,ภูมิใจไทย,50336,1mxgffucPuVzy0un7RN1s_jO5XatI0Vvc,https://drive.google.com/file/d/1mxgffucPuVzy0un7RN1s_jO5XatI0Vvc/view
นครปฐม,5,7,นายอนุชา สะสมทรัพย์,ภูมิใจไทย,40896,1wBuFqYuxRvOuZFjsbV_EAIne8afm5d5T,https://drive.google.com/file/d/1wBuFqYuxRvOuZFjsbV_EAIne8afm5d5T/view
นครปฐม,6,1,นายชลพฤกษ วงศ์อรุณนิยม,ประชาชน,38535,12EWUH1UoYTIqSHOwpqypz6gqgypG5TSg,https://drive.google.com/file/d/12EWUH1UoYTIqSHOwpqypz6gqgypG5TSg/view
นครพนม,1,1,นางสาวศุภพานี โพธิ์สุ,ภูมิใจไทย,61803,1gHIIrx6ollkuOsxbeJvVvcrLZ23L3LwM,https://drive.google.com/file/d/1gHIIrx6ollkuOsxbeJvVvcrLZ23L3LwM/view
นครพนม,2,1,นางมนพร เจริญศรี,เพื่อไทย,51176,1eUWE2Yvh9fzOT2a0ACLYLopuDgJMVhLa,https://drive.google.com/file/d/1eUWE2Yvh9fzOT2a0ACLYLopuDgJMVhLa/view
นครพนม,3,4,นายอลงกต มณีกาศ,ภูมิใจไทย,37134,1c9ZE4822AqCc8uuu0k9YKz3cd3uhQXjv,https://drive.google.com/file/d/1c9ZE4822AqCc8uuu0k9YKz3cd3uhQXjv/view
นครพนม,4,1,นายชาญชัย คำจำปา,เพื่อไทย,41312,1VQ5lRThcfMGHU1zmKqFBODipcAAUJ8Ta,https://drive.google.com/file/d/1VQ5lRThcfMGHU1zmKqFBODipcAAUJ8Ta/view
นครราชสีมา,1,7,นายฉัตร สุภัทรวณิชย์,ประชาชน,32534,15ZGFtRWsjCMd5zInmWlMBH6irip22Cpj,https://drive.google.com/file/d/15ZGFtRWsjCMd5zInmWlMBH6irip22Cpj/view
นครราชสีมา,2,8,นายวัชรพล โตมรศักดิ์,เพื่อไทย,39980,1ec3vCReFnYuwI7VXcn4CMfRmA9DNKSbC,https://drive.google.com/file/d/1ec3vCReFnYuwI7VXcn4CMfRmA9DNKSbC/view
นครราชสีมา,3,5,นายศุทธสิทธิ์ พจน์ฐศักดิ์,ประชาชน,37699,1twC5qDcxqJD1-jKRgvuPNOE4z72CNSQJ,https://drive.google.com/file/d/1twC5qDcxqJD1-jKRgvuPNOE4z72CNSQJ/view
นครราชสีมา,4,4,นางสาวณัฐจิรา อิ่มวิเศษ,เพื่อไทย,34719,1_r5LHSoaIHYNliWSKNLRaagWj0-Nsok0,https://drive.google.com/file/d/1_r5LHSoaIHYNliWSKNLRaagWj0-Nsok0/view
นครราชสีมา,5,1,นายสมเกียรติ ตันดิลกตระกูล,เพื่อไทย,38845,1K2bZs0qeA8LjtbbzGOSo4BJAj_4c6259,https://drive.google.com/file/d/1K2bZs0qeA8LjtbbzGOSo4BJAj_4c6259/view
นครราชสีมา,6,1,นางพัชราวรรณ ภิญโญ,เพื่อไทย,27973,1D-oOnbmgRY8dbqhq3X1tUm5Mr7919-lg,https://drive.google.com/file/d/1D-oOnbmgRY8dbqhq3X1tUm5Mr7919-lg/view
นครราชสีมา,7,2,นางสาวปิยะนุช ยินดีสุข,เพื่อไทย,40228,1tpX1CiOz0-IBmoJ0hOU3hAZKmMtHHLY2,https://drive.google.com/file/d/1tpX1CiOz0-IBmoJ0hOU3hAZKmMtHHLY2/view
นครราชสีมา,8,1,นายนิกร โสมกลาง,เพื่อไทย,51840,1EFSKpTAYxeYPuZo85DvyfEYL4exnRaM4,https://drive.google.com/file/d/1EFSKpTAYxeYPuZo85DvyfEYL4exnRaM4/view
นครราชสีมา,9,3,นายพลพีร์ สุวรรณฉวี,ภูมิใจไทย,41235,1rp0vzjPS0gMJzmbm-vOqinT0Wu1qHtgW,https://drive.google.com/file/d/1rp0vzjPS0gMJzmbm-vOqinT0Wu1qHtgW/view
นครราชสีมา,10,2,นายบุญจง วงศ์ไตรรัตน์,ภูมิใจไทย,43185,1jNUzIezyu3kvIqF08M0zw7TF9Fl3f8dH,https://drive.google.com/file/d/1jNUzIezyu3kvIqF08M0zw7TF9Fl3f8dH/view
นครราชสีมา,11,3,นายอาทิตย์ หวังศุภกิจโกศล,เพื่อไทย,53069,1pIQZVdUXvZKiqXyZh1d3QTKXyRkuasjc,https://drive.google.com/file/d/1pIQZVdUXvZKiqXyZh1d3QTKXyRkuasjc/view
นครราชสีมา,12,3,นายนรเสฏฐ์ ศิริโรจนกุล,เพื่อไทย,47794,1FeBNUJeP079sxAsfXNmBLQZ-3ed7x8_E,https://drive.google.com/file/d/1FeBNUJeP079sxAsfXNmBLQZ-3ed7x8_E/view
นครราชสีมา,13,5,นายพชร จันทรรวงทอง,เพื่อไทย,28157,1SFO8xaUkxrQPWEvAb4xieDOIM01nLEAm,https://drive.google.com/file/d/1SFO8xaUkxrQPWEvAb4xieDOIM01nLEAm/view
นครราชสีมา,14,1,นายหนึ่ง ขัติยะนนท์,ประชาชน,29003,1wYOX4ZSpWAszq2dc7nZZMB2m6vVnR4Vc,https://drive.google.com/file/d/1wYOX4ZSpWAszq2dc7nZZMB2m6vVnR4Vc/view
นครราชสีมา,15,5,นายรชตะ ด่านกุล,เพื่อไทย,37242,15Kh9zyJuEQNP5zsO8PXf_zazEtJIMXOD,https://drive.google.com/file/d/15Kh9zyJuEQNP5zsO8PXf_zazEtJIMXOD/view
นครราชสีมา,16,3,นายตติรัฐ รัตนเศรษฐ,ภูมิใจไทย,32139,1NzwSYAyAw6CwR9H2AsyavHm7ZAcwFOKh,https://drive.google.com/file/d/1NzwSYAyAw6CwR9H2AsyavHm7ZAcwFOKh/view
นครศรีธรรมราช,1,2,นายทรงศักดิ์ มุสิกอง,ประชาธิปัตย์,39225,1-RiKVU10Q1flpzkTVZNYQb2d7qVcDXK_,https://drive.google.com/file/d/1-RiKVU10Q1flpzkTVZNYQb2d7qVcDXK_/view
นครศรีธรรมราช,2,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,45334,160PpjAVMsGt1s52robMo5aa7qduqOhGP,https://drive.google.com/file/d/160PpjAVMsGt1s52robMo5aa7qduqOhGP/view
นครศรีธรรมราช,3,1,นายพิทักษ์เดช เดชเดโช,ประชาธิปัตย์,47554,1DHM9lj2gC9uwDvIN33v2flrFpOwLwERK,https://drive.google.com/file/d/1DHM9lj2gC9uwDvIN33v2flrFpOwLwERK/view
นครศรีธรรมราช,4,5,นางกนกพร เดชเดโช,ประชาธิปัตย์,44890,1egL2J29xACWYPx6tH4JCXvBNk8hS9Bae,https://drive.google.com/file/d/1egL2J29xACWYPx6tH4JCXvBNk8hS9Bae/view
นครศรีธรรมราช,5,5,นายสมศักดิ์ แสงอารยะกุล,กล้าธรรม,36801,1hqMrx5lWZkssz_dSPlcn3SS6xrQdKajZ,https://drive.google.com/file/d/1hqMrx5lWZkssz_dSPlcn3SS6xrQdKajZ/view
นครศรีธรรมราช,6,3,นายจอมไกร สวัสดิวงศ์,ประชาธิปัตย์,43293,1KbHuzEWBLEtlzVt0MBLVgVTGp-GcETzz,https://drive.google.com/file/d/1KbHuzEWBLEtlzVt0MBLVgVTGp-GcETzz/view
นครศรีธรรมราช,7,7,นายอภินันท์ สโมสร,ภูมิใจไทย,38684,1fgXH3wCFOjJcEtvV364-cEPdKEYjOAug,https://drive.google.com/file/d/1fgXH3wCFOjJcEtvV364-cEPdKEYjOAug/view
นครศรีธรรมราช,8,1,นางอวยพรศรี เชาวลิต,ภูมิใจไทย,54040,1Asq3nWbmU1ZqWOjJVKPnuIIx2_v0TH7v,https://drive.google.com/file/d/1Asq3nWbmU1ZqWOjJVKPnuIIx2_v0TH7v/view
นครศรีธรรมราช,9,7,นางสาวพิมพ์ภัทรา วิชัยกุล,ภูมิใจไทย,46473,13_mKJmJ2x87ACjsxE9eq7368SUMQTfV6,https://drive.google.com/file/d/13_mKJmJ2x87ACjsxE9eq7368SUMQTfV6/view
นครสวรรค์,1,3,นางสาวภัทราวดี นิโรจน์,ภูมิใจไทย,48861,1FXLw7eWBdeWjbA-eHaRfsasrmGYkUv_e,https://drive.google.com/file/d/1FXLw7eWBdeWjbA-eHaRfsasrmGYkUv_e/view
นครสวรรค์,2,3,นายชานนท์ ไทยเศรษฐ์,ภูมิใจไทย,47296,1XeWHpkeyRO-WChTNBrPJ9cilsVcfQZ7R,https://drive.google.com/file/d/1XeWHpkeyRO-WChTNBrPJ9cilsVcfQZ7R/view
