province,district,election_type,drive_id,extracted_valid,weak_summary,ref_valid,delta_valid_vs_killernay,exact_killernay
กรุงเทพมหานคร,21,constituency,1wgJsCUVKYaLjMvn6xcd_-KbbWXimICYM,91346.0,False,91346.0,0.0,True
กรุงเทพมหานคร,21,party_list,172nWIHWH1nQw3yOCn2qaEblE43LCli7J,92788.0,False,92788.0,0.0,True
กรุงเทพมหานคร,22,constituency,1RkVRmdFKVTydfk9vDV5_h8C6h41iSa50,85558.0,False,85558.0,0.0,True
กรุงเทพมหานคร,22,party_list,151SpXwRG8ebTcuaTXjD3ZMdCSU8ktfe8,88283.0,False,88283.0,0.0,True
กรุงเทพมหานคร,23,constituency,1vvetQAREhZztZ-Ct-JpY8v8tUJN77QlJ,94233.0,False,94233.0,0.0,True
กรุงเทพมหานคร,23,party_list,1SD0rWW7AeH3-tDPFSH4wGJam24FQyrol,96512.0,False,96512.0,0.0,True
กรุงเทพมหานคร,24,constituency,1qyQZCwTt3nl-d4OHF0y2CzQMbyoyL-h9,89356.0,False,89356.0,0.0,True
กรุงเทพมหานคร,24,party_list,1w7k2NNR2pdp32OKIfy_TcV_kUazCaY5F,92221.0,False,92221.0,0.0,True
กรุงเทพมหานคร,25,constituency,1uGJc1eCCl9sBQyDElUshteZt8PBRGoh9,84112.0,False,84112.0,0.0,True
กรุงเทพมหานคร,25,party_list,1J2kezMLitGrEDa8bTnFFtF0UDSYe4Wxi,85329.0,False,85329.0,0.0,True
กรุงเทพมหานคร,26,constituency,1v0fjDVsaMyAwTqhEtF0v03QvwIF2ayFd,90037.0,False,90037.0,0.0,True
กรุงเทพมหานคร,26,party_list,1otADY98vhxj0tUwI4-msaULPea5d2yyh,92428.0,False,92428.0,0.0,True
กรุงเทพมหานคร,27,constituency,1y90eL9XEvS1hOg6AVVQliudyVtZumsM0,90381.0,False,90381.0,0.0,True
กรุงเทพมหานคร,27,party_list,1DUgO6vxwWpEKG9nLesbPDcMCMcFHBvGU,91873.0,False,91873.0,0.0,True
กรุงเทพมหานคร,28,constituency,1BbPEmZso37SzPaFKWN8y-YF-BQCTdBjZ,91560.0,False,91560.0,0.0,True
กรุงเทพมหานคร,28,party_list,1awoGIPZJtfFq5wFTRTMS3IEbIkm0iqYW,94612.0,False,94612.0,0.0,True
กรุงเทพมหานคร,29,constituency,1MKaK-R4XmDTI_3YPXH9HEDni6ZlnwjHh,96248.0,False,96248.0,0.0,True
กรุงเทพมหานคร,29,party_list,1xmv9Dureju69TuqgL3xjtYP9Ay1oszRl,98610.0,False,98610.0,0.0,True
กรุงเทพมหานคร,30,constituency,1rUXXCcT-JT84VYb6OjO89_GBPs6srGEB,92533.0,False,92533.0,0.0,True
กรุงเทพมหานคร,30,party_list,1oo6QYeRZqii--5i9Qi8V0BMDyGZPo7Gy,94745.0,False,94745.0,0.0,True
กรุงเทพมหานคร,31,constituency,1-FFUjiScNltaO9ur5Cf7ZVNBC6AuzR2K,98491.0,False,98491.0,0.0,True
กรุงเทพมหานคร,31,party_list,13zKTOzhdu9eDL8Z5-d0EHIMb2tOPtgGa,101855.0,False,101855.0,0.0,True
กรุงเทพมหานคร,32,constituency,1Oc6RvuUPxGsSHtjvpn5opoiaEkVMOWET,85631.0,False,85631.0,0.0,True
กรุงเทพมหานคร,32,party_list,1QCv3qS4eP5SCCUixG4NNsyI4mOkvqFA8,88915.0,False,88915.0,0.0,True
กรุงเทพมหานคร,33,constituency,1KTQwfCYT6bpqVPd0KkccjtexXf0PnAAI,94416.0,False,94416.0,0.0,True
กรุงเทพมหานคร,33,party_list,1d92Vh0IJgcjK3OMBJ5WVPlEyAt6mnmUO,97764.0,False,97764.0,0.0,True
กาญจนบุรี,1,constituency,1bU_V2e4i9AbSEKCe4zI1yLbMvvE6akey,85850.0,False,85850.0,0.0,True
กาญจนบุรี,1,party_list,1yRM9zPUd9rmohcr_ZmduvqRP9vnryJo5,86461.0,False,86461.0,0.0,True
กาญจนบุรี,2,constituency,1swApPWHOLi0VxCh_d0bQ7pwnIN79xDV6,97680.0,False,97680.0,0.0,True
กาญจนบุรี,2,party_list,1Wcc0QkoMbiRjVpSqaqQuDSle-DyJLGVv,94230.0,False,94230.0,0.0,True
