province,district_number,diff,abs_diff,const_total,party_total,const_valid,const_invalid,const_blank,party_valid,party_invalid,party_blank,killernay_diff,const_drive_id,party_drive_id,const_url,party_url
กาญจนบุรี,1,1,1,96564,96563,85850,3815,6899,86461,4938,5164,1,1bU_V2e4i9AbSEKCe4zI1yLbMvvE6akey,1yRM9zPUd9rmohcr_ZmduvqRP9vnryJo5,https://drive.google.com/file/d/1bU_V2e4i9AbSEKCe4zI1yLbMvvE6akey/view,https://drive.google.com/file/d/1yRM9zPUd9rmohcr_ZmduvqRP9vnryJo5/view
กาฬสินธุ์,1,-1,1,90137,90138,83744,2808,3585,82880,4696,2562,-1,1zyrX9yI2WDi4GVmDKDN_1krGBRIeIugv,1VKae75PH9ewqe33kglXKzZdZQf1t2dJo,https://drive.google.com/file/d/1zyrX9yI2WDi4GVmDKDN_1krGBRIeIugv/view,https://drive.google.com/file/d/1VKae75PH9ewqe33kglXKzZdZQf1t2dJo/view
กาฬสินธุ์,5,1,1,93903,93902,89758,2305,1840,87638,4515,1749,1,1peRDABTfr2gyblRFtUuLwDL2SBW-2kLF,1QXgR7tupgFj4HiFQ4y2rE138sFh0JkFk,https://drive.google.com/file/d/1peRDABTfr2gyblRFtUuLwDL2SBW-2kLF/view,https://drive.google.com/file/d/1QXgR7tupgFj4HiFQ4y2rE138sFh0JkFk/view
กาฬสินธุ์,6,1,1,95812,95811,91466,2483,1863,89550,4604,1657,1,1dcth62P1ypYEi_oTtzWh8Y3ryEUBeeGH,1LOXrlcTzHEdcyCJA58DKqTv6JkgiQQfL,https://drive.google.com/file/d/1dcth62P1ypYEi_oTtzWh8Y3ryEUBeeGH/view,https://drive.google.com/file/d/1LOXrlcTzHEdcyCJA58DKqTv6JkgiQQfL/view
ขอนแก่น,5,-1,1,85145,85146,81109,2579,1457,79025,4885,1236,-1,1XHTpaTferlNSVC_8klXkUOvIA7Zju4hT,1FTItBZdrfML1IGKwpbhsr4blphBpdM17,https://drive.google.com/file/d/1XHTpaTferlNSVC_8klXkUOvIA7Zju4hT/view,https://drive.google.com/file/d/1FTItBZdrfML1IGKwpbhsr4blphBpdM17/view
ฉะเชิงเทรา,2,1,1,118518,118517,109828,4435,4255,107806,6636,4075,1,1BQ83KRX2Zdy-2e3Ysu7g7nrPGKKwjtdL,1SJzm-Uul8xxJXCoFfGWhxlOFf1pULfYP,https://drive.google.com/file/d/1BQ83KRX2Zdy-2e3Ysu7g7nrPGKKwjtdL/view,https://drive.google.com/file/d/1SJzm-Uul8xxJXCoFfGWhxlOFf1pULfYP/view
ฉะเชิงเทรา,4,-1,1,122282,122283,112107,4490,5685,111464,6509,4310,-1,1aJDY6jDoR5-QBmd5Lcxns97DgUHXiqW2,1xajRSvEBoBkD7humpCQaUJw75_FogcyQ,https://drive.google.com/file/d/1aJDY6jDoR5-QBmd5Lcxns97DgUHXiqW2/view,https://drive.google.com/file/d/1xajRSvEBoBkD7humpCQaUJw75_FogcyQ/view
ชลบุรี,7,1,1,88767,88766,82754,2097,3916,83989,2295,2482,1,1Qo3iFTyE9LLEH6mlIWN0TlmFnUeD9zbD,14ZauwDE1lFfHrueRHgJxSZdOqDmj9KPZ,https://drive.google.com/file/d/1Qo3iFTyE9LLEH6mlIWN0TlmFnUeD9zbD/view,https://drive.google.com/file/d/14ZauwDE1lFfHrueRHgJxSZdOqDmj9KPZ/view
ชลบุรี,8,1,1,94308,94307,86994,3052,4262,88210,3271,2826,1,1fUq3X3-b42FixRx5kn810RUVTQFuFwp0,1XyT1Qm-Relx0u2G2RimnOebrnpuyNxZL,https://drive.google.com/file/d/1fUq3X3-b42FixRx5kn810RUVTQFuFwp0/view,https://drive.google.com/file/d/1XyT1Qm-Relx0u2G2RimnOebrnpuyNxZL/view
ชลบุรี,9,1,1,69180,69179,62409,3133,3638,65089,2010,2080,1,1tElS-omfn39W2UNolZqnSLIjsRMUGnZh,1mLnt8T0FLDmt4GPoGc68gP9hATExvahL,https://drive.google.com/file/d/1tElS-omfn39W2UNolZqnSLIjsRMUGnZh/view,https://drive.google.com/file/d/1mLnt8T0FLDmt4GPoGc68gP9hATExvahL/view
ชลบุรี,10,1,1,89099,89098,82457,1990,4652,82021,2723,4354,1,1YSZ7bExOx_gVbNQxusQZYozXqdvvRyb1,19CqLtI8295pA-t9gZ8JoEvN5pzSDsNfO,https://drive.google.com/file/d/1YSZ7bExOx_gVbNQxusQZYozXqdvvRyb1/view,https://drive.google.com/file/d/19CqLtI8295pA-t9gZ8JoEvN5pzSDsNfO/view
ชัยนาท,1,1,1,94469,94468,80770,5718,7981,84121,5608,4739,1,1oHtsiTENlPEIJmvbmOechAuSmkXxysUp,1pSzYLedpO7n6rH6eGrs28lFP4-e2VRhJ,https://drive.google.com/file/d/1oHtsiTENlPEIJmvbmOechAuSmkXxysUp/view,https://drive.google.com/file/d/1pSzYLedpO7n6rH6eGrs28lFP4-e2VRhJ/view
ชุมพร,1,-1,1,104168,104169,96247,2480,5441,98390,3052,2727,-1,1OYG1YT56sF81GQlbSv1QPcJt2PswSdN4,1SIPu5zK9_iVCVkjH_JJfXqqVJSBP9ubk,https://drive.google.com/file/d/1OYG1YT56sF81GQlbSv1QPcJt2PswSdN4/view,https://drive.google.com/file/d/1SIPu5zK9_iVCVkjH_JJfXqqVJSBP9ubk/view
ชุมพร,2,-1,1,107786,107787,101248,2763,3775,101680,3781,2326,-1,1XundJ9C6RsYq81yWyiZLwZzO4HRvbz2J,1huwpNNhW4OVFhEWD1nKTjeNsrvbIvsC8,https://drive.google.com/file/d/1XundJ9C6RsYq81yWyiZLwZzO4HRvbz2J/view,https://drive.google.com/file/d/1huwpNNhW4OVFhEWD1nKTjeNsrvbIvsC8/view
ชุมพร,3,1,1,101287,101286,94965,2633,3689,95882,3303,2101,1,12GJSERpD3ou8W6Lv7du5BdT2ELPBlaX6,1vwe5AfBOIa7X-rw0UdtMsiOOEOCRFmIk,https://drive.google.com/file/d/12GJSERpD3ou8W6Lv7du5BdT2ELPBlaX6/view,https://drive.google.com/file/d/1vwe5AfBOIa7X-rw0UdtMsiOOEOCRFmIk/view
ตาก,1,-1,1,105328,105329,96390,3819,5119,94793,6201,4335,-1,1MAy5f78uCbD9OmYgEURKvMha3ql7qBKg,1thMQoxDTawtfInvIFwFylVudDutMsrKV,https://drive.google.com/file/d/1MAy5f78uCbD9OmYgEURKvMha3ql7qBKg/view,https://drive.google.com/file/d/1thMQoxDTawtfInvIFwFylVudDutMsrKV/view
นครพนม,1,1,1,98499,98498,94537,2636,1326,92903,4490,1105,1,1gHIIrx6ollkuOsxbeJvVvcrLZ23L3LwM,1jrWKMeEpHeW4PrWQPL1u9ck5lWoB6nE8,https://drive.google.com/file/d/1gHIIrx6ollkuOsxbeJvVvcrLZ23L3LwM/view,https://drive.google.com/file/d/1jrWKMeEpHeW4PrWQPL1u9ck5lWoB6nE8/view
นครราชสีมา,2,1,1,105850,105849,96710,3197,5943,96874,4214,4761,1,1ec3vCReFnYuwI7VXcn4CMfRmA9DNKSbC,1gWjLeskpwPHfxYgpkfOxDr-DTymNtGxR,https://drive.google.com/file/d/1ec3vCReFnYuwI7VXcn4CMfRmA9DNKSbC/view,https://drive.google.com/file/d/1gWjLeskpwPHfxYgpkfOxDr-DTymNtGxR/view
นครราชสีมา,8,-1,1,88226,88227,79521,5126,3579,80704,4520,3003,-1,1EFSKpTAYxeYPuZo85DvyfEYL4exnRaM4,155RhiKVCp1DllniDeaXtNjin6Xz0LjNj,https://drive.google.com/file/d/1EFSKpTAYxeYPuZo85DvyfEYL4exnRaM4/view,https://drive.google.com/file/d/155RhiKVCp1DllniDeaXtNjin6Xz0LjNj/view
นครราชสีมา,9,1,1,92485,92484,87655,2909,1921,85355,5140,1989,1,1rp0vzjPS0gMJzmbm-vOqinT0Wu1qHtgW,1Bto6q1I4SlNCMslnPOInXkCLxFKtHBZz,https://drive.google.com/file/d/1rp0vzjPS0gMJzmbm-vOqinT0Wu1qHtgW/view,https://drive.google.com/file/d/1Bto6q1I4SlNCMslnPOInXkCLxFKtHBZz/view
นครราชสีมา,15,1,1,99862,99861,95199,2835,1828,92072,5696,2093,1,15Kh9zyJuEQNP5zsO8PXf_zazEtJIMXOD,1ANq39EuBPU1dpnDnfrvSgukgzeMoeUst,https://drive.google.com/file/d/15Kh9zyJuEQNP5zsO8PXf_zazEtJIMXOD/view,https://drive.google.com/file/d/1ANq39EuBPU1dpnDnfrvSgukgzeMoeUst/view
นครศรีธรรมราช,4,1,1,103162,103161,97047,2383,3732,98120,3372,1669,1,1egL2J29xACWYPx6tH4JCXvBNk8hS9Bae,1K6p_C5Mi2HvzK0lJjt28-W9LeGLRM8r1,https://drive.google.com/file/d/1egL2J29xACWYPx6tH4JCXvBNk8hS9Bae/view,https://drive.google.com/file/d/1K6p_C5Mi2HvzK0lJjt28-W9LeGLRM8r1/view
นครศรีธรรมราช,7,1,1,99078,99077,82744,5096,11238,91334,3743,4000,1,1fgXH3wCFOjJcEtvV364-cEPdKEYjOAug,1G3c3YQuHiPiEw483TNUt2-caFR4htmZZ,https://drive.google.com/file/d/1fgXH3wCFOjJcEtvV364-cEPdKEYjOAug/view,https://drive.google.com/file/d/1G3c3YQuHiPiEw483TNUt2-caFR4htmZZ/view
นครสวรรค์,4,1,1,92413,92412,83748,5325,3340,83094,6953,2365,1,17K2dSvPjYBkYzbpp9sxyT0J3gkn7ozLg,15Z_xrytFtFgFWqrCPO0HHwwkj03l00ev,https://drive.google.com/file/d/17K2dSvPjYBkYzbpp9sxyT0J3gkn7ozLg/view,https://drive.google.com/file/d/15Z_xrytFtFgFWqrCPO0HHwwkj03l00ev/view
นนทบุรี,1,-1,1,101511,101512,93883,1731,5897,96610,1903,2999,-1,1oJwJto4YpUhJSSYzM2eXhAUGQR0uerju,1ZpagCQTb707GR-1nt8k_i2AMtlQ1fhbY,https://drive.google.com/file/d/1oJwJto4YpUhJSSYzM2eXhAUGQR0uerju/view,https://drive.google.com/file/d/1ZpagCQTb707GR-1nt8k_i2AMtlQ1fhbY/view
นราธิวาส,3,-1,1,82910,82911,79299,2416,1195,77064,4914,933,-1,19SEQ3JlF1d9-5azJeDhp09KnWrKG-c90,1Fft1UDsEkrl-QwQiKSjE4OfMc04ONMrp,https://drive.google.com/file/d/19SEQ3JlF1d9-5azJeDhp09KnWrKG-c90/view,https://drive.google.com/file/d/1Fft1UDsEkrl-QwQiKSjE4OfMc04ONMrp/view
น่าน,2,1,1,98561,98560,90486,3523,4552,90844,4105,3611,1,1WHuT1oRCirzYuc8dNTOa_gKOxWxXGaW9,1YZttQVcFOfC0_c6F8BxUz_OK7HtVNNKz,https://drive.google.com/file/d/1WHuT1oRCirzYuc8dNTOa_gKOxWxXGaW9/view,https://drive.google.com/file/d/1YZttQVcFOfC0_c6F8BxUz_OK7HtVNNKz/view
บึงกาฬ,2,1,1,75005,75004,72072,1869,1064,70564,3295,1145,1,1uOE6HGXjFNb2WZXBoEMX7IOrlmvBXuyU,1jOJ-VR0mHT3WTg-rA57USoMP0SKYjKeP,https://drive.google.com/file/d/1uOE6HGXjFNb2WZXBoEMX7IOrlmvBXuyU/view,https://drive.google.com/file/d/1jOJ-VR0mHT3WTg-rA57USoMP0SKYjKeP/view
บุรีรัมย์,1,-1,1,86182,86183,78889,3720,3573,80645,3698,1840,,1JaZfY6oPJReUc6aTS75P_aKkxDRdzEDL,1eiz5sm9K37689tt4QhCUROCGFN8TnNRk,https://drive.google.com/file/d/1JaZfY6oPJReUc6aTS75P_aKkxDRdzEDL/view,https://drive.google.com/file/d/1eiz5sm9K37689tt4QhCUROCGFN8TnNRk/view
บุรีรัมย์,8,-1,1,85265,85266,78428,3293,3544,78587,4384,2295,,1WzRcUghzMxn-Y1ZEMKNG1bUsv7Y7LHWI,1huheTgYvQ2nqeqtp_rjE2WwoDLTuGoNx,https://drive.google.com/file/d/1WzRcUghzMxn-Y1ZEMKNG1bUsv7Y7LHWI/view,https://drive.google.com/file/d/1huheTgYvQ2nqeqtp_rjE2WwoDLTuGoNx/view
บุรีรัมย์,9,-1,1,79746,79747,73695,3433,2618,73596,4448,1703,,16sko54J6QH2HABsaRop6an4J5l9x2L4k,12tEltJPINxG4brYxcTcgEcd_pHXZfob_,https://drive.google.com/file/d/16sko54J6QH2HABsaRop6an4J5l9x2L4k/view,https://drive.google.com/file/d/12tEltJPINxG4brYxcTcgEcd_pHXZfob_/view
ปทุมธานี,6,1,1,91434,91433,84382,1781,5271,87165,1489,2779,1,13wfIUFLrPX_mzouu3s_EpcYiNVqxDYX7,1Ms1yyy1gni07eyLFdbbByen8n3nvO8E7,https://drive.google.com/file/d/13wfIUFLrPX_mzouu3s_EpcYiNVqxDYX7/view,https://drive.google.com/file/d/1Ms1yyy1gni07eyLFdbbByen8n3nvO8E7/view
ประจวบคีรีขันธ์,1,-1,1,118297,118298,112249,3405,2643,107999,6984,3315,0,1cupM4QyYQP61yjXHgaRDfXeTn63VktDG,1EwPlD2pTSTIIC7dfclNN2VlqB19NHDS6,https://drive.google.com/file/d/1cupM4QyYQP61yjXHgaRDfXeTn63VktDG/view,https://drive.google.com/file/d/1EwPlD2pTSTIIC7dfclNN2VlqB19NHDS6/view
ประจวบคีรีขันธ์,2,1,1,103565,103564,96454,2709,4402,95554,4545,3465,1,16nEg4rZBwLqgZmZx3_R-e_JXk-uuZtMt,1hrFfdd8DETCHYPyu-sTXkmb80Xf0SKy0,https://drive.google.com/file/d/16nEg4rZBwLqgZmZx3_R-e_JXk-uuZtMt/view,https://drive.google.com/file/d/1hrFfdd8DETCHYPyu-sTXkmb80Xf0SKy0/view
ปราจีนบุรี,2,1,1,108244,108243,100450,3515,4279,99428,5175,3640,,1yGNOqcvXQP4FNge1eXZ3gd2MpyN9AgsC,1v5ZcBDXzy2UwiEY45P2sdT7HsOMe-MKv,https://drive.google.com/file/d/1yGNOqcvXQP4FNge1eXZ3gd2MpyN9AgsC/view,https://drive.google.com/file/d/1v5ZcBDXzy2UwiEY45P2sdT7HsOMe-MKv/view
ปราจีนบุรี,3,-1,1,93848,93849,84347,4694,4807,84893,5140,3816,-1,1R2RHqPvUxs0eQF22wg3rxOYbJG6gDz_k,1Y9pZ76pSpv19tY_Z6pHo_ArL8M7FPkMC,https://drive.google.com/file/d/1R2RHqPvUxs0eQF22wg3rxOYbJG6gDz_k/view,https://drive.google.com/file/d/1Y9pZ76pSpv19tY_Z6pHo_ArL8M7FPkMC/view
ปัตตานี,1,-1,1,74215,74216,69214,2134,2867,68916,3270,2030,-1,1xZZ-yOyFHuSk9gH6YLJEe65oJfI8I79S,1DRULipMiBeow9ZYDZYkEpZFc4mtfKbt8,https://drive.google.com/file/d/1xZZ-yOyFHuSk9gH6YLJEe65oJfI8I79S/view,https://drive.google.com/file/d/1DRULipMiBeow9ZYDZYkEpZFc4mtfKbt8/view
พระนครศรีอยุธยา,5,-1,1,105916,105917,98383,4482,3051,97187,5586,3144,-1,1-UUGiZCNSbat-q_-MUI2Eor0jOsy1AeM,1hCUMcjpBmjmq08QVta8qp3V4yD0maveB,https://drive.google.com/file/d/1-UUGiZCNSbat-q_-MUI2Eor0jOsy1AeM/view,https://drive.google.com/file/d/1hCUMcjpBmjmq08QVta8qp3V4yD0maveB/view
พะเยา,1,1,1,98625,98624,91616,2999,4010,92929,3590,2105,1,1UfOYjuAa3ydHCM9Rztik8HN3MZoVp1uP,1EjCNORbYeS5GadaTkA4O4h3GUEX1XOMb,https://drive.google.com/file/d/1UfOYjuAa3ydHCM9Rztik8HN3MZoVp1uP/view,https://drive.google.com/file/d/1EjCNORbYeS5GadaTkA4O4h3GUEX1XOMb/view
พังงา,1,1,1,74406,74405,66345,2919,5142,69369,2614,2422,1,1VFczJ7og5lzIMQRCTRdhDVXOZwhchBwT,1U6OI-trFgG-50q7TxN1ddjSQlIhlSgH_,https://drive.google.com/file/d/1VFczJ7og5lzIMQRCTRdhDVXOZwhchBwT/view,https://drive.google.com/file/d/1U6OI-trFgG-50q7TxN1ddjSQlIhlSgH_/view
พังงา,2,1,1,83093,83092,75502,2845,4746,76833,3361,2898,1,1FLLtTod8zVen0q-6aUWhtASKstElFIZl,1v62wQnNHTh-CsMo3A5D52d7f6Teh0qrW,https://drive.google.com/file/d/1FLLtTod8zVen0q-6aUWhtASKstElFIZl/view,https://drive.google.com/file/d/1v62wQnNHTh-CsMo3A5D52d7f6Teh0qrW/view
พัทลุง,2,-1,1,122372,122373,117079,2430,2863,116799,3700,1874,-1,1tE0XtgMD3QkOd5BL-K_vaGAq_qNSAsB7,1AaY9MmqD8gEclZH1fhr_AmpyCYIqc9uC,https://drive.google.com/file/d/1tE0XtgMD3QkOd5BL-K_vaGAq_qNSAsB7/view,https://drive.google.com/file/d/1AaY9MmqD8gEclZH1fhr_AmpyCYIqc9uC/view
พิจิตร,2,-1,1,91078,91079,83178,4341,3559,82191,6237,2651,-1,1QQSpruteYr1I9xTEoJxe7Wkc6iHbeoaP,1PvxndkMH6qI_Ntoy_nBbIfdk7GUQPHY_,https://drive.google.com/file/d/1QQSpruteYr1I9xTEoJxe7Wkc6iHbeoaP/view,https://drive.google.com/file/d/1PvxndkMH6qI_Ntoy_nBbIfdk7GUQPHY_/view
พิจิตร,3,-1,1,100597,100598,94660,3740,2197,91584,6773,2241,-1,16fWm4E8il1U_5iZrqxdlEH394zyk66Af,1X2XFsK7JutA_Wnr1jiqmbyizjTKiq-M9,https://drive.google.com/file/d/16fWm4E8il1U_5iZrqxdlEH394zyk66Af/view,https://drive.google.com/file/d/1X2XFsK7JutA_Wnr1jiqmbyizjTKiq-M9/view
มหาสารคาม,1,1,1,90569,90568,84916,2106,3547,84685,3371,2512,1,1IO2mowaFL3d6-WQaaQwpNDIx1pQujQQQ,1iIVxHpNhMJITJYTfyIyOLvF_WU2o33AF,https://drive.google.com/file/d/1IO2mowaFL3d6-WQaaQwpNDIx1pQujQQQ/view,https://drive.google.com/file/d/1iIVxHpNhMJITJYTfyIyOLvF_WU2o33AF/view
มหาสารคาม,5,1,1,84701,84700,77618,3056,4027,78705,3676,2319,1,1Y_-frDY8b8TKufTtArRfD836do1YinQw,1Y-lQxxjXxOKl_J2v_G15p7GqRVUl3K8w,https://drive.google.com/file/d/1Y_-frDY8b8TKufTtArRfD836do1YinQw/view,https://drive.google.com/file/d/1Y-lQxxjXxOKl_J2v_G15p7GqRVUl3K8w/view
ยโสธร,1,-1,1,105736,105737,100743,2894,2099,99617,4066,2054,-1,1z4BVMx4lSMoYUXsqPSyx4iecY8Fxwhb5,1m13J55H17Tjaxsn1e-Q90HCQFVTR624n,https://drive.google.com/file/d/1z4BVMx4lSMoYUXsqPSyx4iecY8Fxwhb5/view,https://drive.google.com/file/d/1m13J55H17Tjaxsn1e-Q90HCQFVTR624n/view
ยโสธร,3,1,1,99570,99569,93914,3651,2005,93788,4069,1712,1,1c9-eRCLNqh4MmJ0WWgbplg27dRmiZyVm,1LCq9Vdikie_VSXhDwZN3OvMEfcINwCwc,https://drive.google.com/file/d/1c9-eRCLNqh4MmJ0WWgbplg27dRmiZyVm/view,https://drive.google.com/file/d/1LCq9Vdikie_VSXhDwZN3OvMEfcINwCwc/view
ระยอง,5,-1,1,89547,89548,81289,3458,4800,83541,3110,2897,-1,1eslhYSidMcihgOc9AiTQWwKo9KQEEqsv,1f8NF-Uxob31qvqjP_N8ww8Ky6LzH1CWH,https://drive.google.com/file/d/1eslhYSidMcihgOc9AiTQWwKo9KQEEqsv/view,https://drive.google.com/file/d/1f8NF-Uxob31qvqjP_N8ww8Ky6LzH1CWH/view
ร้อยเอ็ด,1,-1,1,94576,94577,89385,2687,2504,89040,3312,2225,-1,1IGLvel2r4G688gbYvZku1P_K3CRtQNvi,1ZsTm4RK6qV_4v4aUXpBaDPjVcoDDJ2sy,https://drive.google.com/file/d/1IGLvel2r4G688gbYvZku1P_K3CRtQNvi/view,https://drive.google.com/file/d/1ZsTm4RK6qV_4v4aUXpBaDPjVcoDDJ2sy/view
ร้อยเอ็ด,3,-1,1,85667,85668,81733,2196,1738,80053,3999,1616,-1,1CaNwnljRO2p3_KjM2ADWv14BsbziIFdX,1ViCxj_eyXr2tCSTa058BBgqIgMzoi11K,https://drive.google.com/file/d/1CaNwnljRO2p3_KjM2ADWv14BsbziIFdX/view,https://drive.google.com/file/d/1ViCxj_eyXr2tCSTa058BBgqIgMzoi11K/view
ร้อยเอ็ด,7,1,1,84922,84921,81314,2760,848,80966,3109,846,1,1HqTHQjze0AbijdTN-qFD-rQiPxzlx3Kd,1ihTMye2u8b1qhl35tPzP5kxDZNsuBCw4,https://drive.google.com/file/d/1HqTHQjze0AbijdTN-qFD-rQiPxzlx3Kd/view,https://drive.google.com/file/d/1ihTMye2u8b1qhl35tPzP5kxDZNsuBCw4/view
ลพบุรี,3,-1,1,105929,105930,99225,3885,2819,96662,6371,2897,-1,11ni1euivZs12xauGxIKjDEqUE6zC3rzC,1-kFb4JSOnPQWM_wF4W9Ny68WI7vIyBRc,https://drive.google.com/file/d/11ni1euivZs12xauGxIKjDEqUE6zC3rzC/view,https://drive.google.com/file/d/1-kFb4JSOnPQWM_wF4W9Ny68WI7vIyBRc/view
ลำปาง,1,1,1,112100,112099,98457,4665,8978,102321,4276,5502,1,1W_1A7Vcy3fcUxw1jRFV7pw7VQKeCFgAX,12EBpk-O-WWRB4-pjmlp6fAgbWutZfBdP,https://drive.google.com/file/d/1W_1A7Vcy3fcUxw1jRFV7pw7VQKeCFgAX/view,https://drive.google.com/file/d/12EBpk-O-WWRB4-pjmlp6fAgbWutZfBdP/view
ลำพูน,1,-1,1,140617,140618,125326,5765,9526,127949,5987,6682,-1,1m5Z2UlGCJN0Xcu4oMNiHwcpHDlRpqQkJ,1AkJzuHWSmK3-bPq5deKnklN89snUSdw-,https://drive.google.com/file/d/1m5Z2UlGCJN0Xcu4oMNiHwcpHDlRpqQkJ/view,https://drive.google.com/file/d/1AkJzuHWSmK3-bPq5deKnklN89snUSdw-/view
ศรีสะเกษ,4,-1,1,82768,82769,77864,2762,2142,76539,4624,1606,-1,1cNN2L6UhU44Cfa6RUSXxWrpCTGzwUQUc,15wTYfUfPWXTs7Zm2UEfEJ0oUsI2orSvc,https://drive.google.com/file/d/1cNN2L6UhU44Cfa6RUSXxWrpCTGzwUQUc/view,https://drive.google.com/file/d/15wTYfUfPWXTs7Zm2UEfEJ0oUsI2orSvc/view
ศรีสะเกษ,5,-1,1,85062,85063,79671,3443,1948,78316,5120,1627,-1,1HHCl6bPD2AVET2fkkjEcIQhybZolGRh4,1yr34trAXWdcFbQqQ4cAxDRLzDvu_t4dL,https://drive.google.com/file/d/1HHCl6bPD2AVET2fkkjEcIQhybZolGRh4/view,https://drive.google.com/file/d/1yr34trAXWdcFbQqQ4cAxDRLzDvu_t4dL/view
ศรีสะเกษ,6,1,1,83912,83911,79063,3411,1438,77850,4905,1156,1,1-v0F3shlySw7OkzOUzdlrCOR2M_XxrYv,12una7KHxm634FjgTJn5CX2G2rnJKFLQ8,https://drive.google.com/file/d/1-v0F3shlySw7OkzOUzdlrCOR2M_XxrYv/view,https://drive.google.com/file/d/12una7KHxm634FjgTJn5CX2G2rnJKFLQ8/view
สกลนคร,1,1,1,96161,96160,90090,2335,3736,89020,3791,3349,0,1mafFv4NdqwuM4gsqnHBcrYXgi438Fiak,1kIm0liXTa7mJ1XM8TzzFkPE7mYqvtBqX,https://drive.google.com/file/d/1mafFv4NdqwuM4gsqnHBcrYXgi438Fiak/view,https://drive.google.com/file/d/1kIm0liXTa7mJ1XM8TzzFkPE7mYqvtBqX/view
สกลนคร,6,-1,1,80511,80512,75062,3189,2260,75630,3150,1732,-1,1CF91orV59cKZj4DrV2wGrn-W_625owUS,1AVVLQqdJbX3BF_nVa9VohM0jjRtuKHDU,https://drive.google.com/file/d/1CF91orV59cKZj4DrV2wGrn-W_625owUS/view,https://drive.google.com/file/d/1AVVLQqdJbX3BF_nVa9VohM0jjRtuKHDU/view
สงขลา,1,1,1,97311,97310,86955,2926,7430,90673,3039,3598,1,1WCa3eEGmZefyMgsphRiYKca3PeeXfjGa,1bJ-iKJ0H6IT_cJ1QvWOfVu6ycokoOOAg,https://drive.google.com/file/d/1WCa3eEGmZefyMgsphRiYKca3PeeXfjGa/view,https://drive.google.com/file/d/1bJ-iKJ0H6IT_cJ1QvWOfVu6ycokoOOAg/view
สตูล,1,-1,1,88455,88456,81311,2515,4629,81812,3570,3074,0,1y2FxPfv0B8sY9REPS7RAhNUiTELR3w02,1HiHbB6MHWusDB87ONAvzTdMB84wX9uQK,https://drive.google.com/file/d/1y2FxPfv0B8sY9REPS7RAhNUiTELR3w02/view,https://drive.google.com/file/d/1HiHbB6MHWusDB87ONAvzTdMB84wX9uQK/view
สมุทรปราการ,1,-1,1,97099,97100,87879,4260,4960,90939,3047,3114,-1,1AKmivPbAoeYNwLO1Num3ZLrVWbcbbrhN,1zx9nycU_2NPBfBdFx2qYDSQstQOwr1t7,https://drive.google.com/file/d/1AKmivPbAoeYNwLO1Num3ZLrVWbcbbrhN/view,https://drive.google.com/file/d/1zx9nycU_2NPBfBdFx2qYDSQstQOwr1t7/view
สมุทรปราการ,8,1,1,111859,111858,103041,3435,5383,104242,4044,3572,1,1eSUvuToRKCFTX-iL5G4gcJTujbQ_ilTG,1bANW_d5cAWmwjfn9Lk11r42jzq9JLQw4,https://drive.google.com/file/d/1eSUvuToRKCFTX-iL5G4gcJTujbQ_ilTG/view,https://drive.google.com/file/d/1bANW_d5cAWmwjfn9Lk11r42jzq9JLQw4/view
สระบุรี,1,1,1,98444,98443,88053,3702,6689,89500,4541,4402,-4624,1O40KsvpJeUat1Mq8PrUccBFfr86r75Fg,1SmjaqC--qpWsmMVr_vhvFeXZEB2J322H,https://drive.google.com/file/d/1O40KsvpJeUat1Mq8PrUccBFfr86r75Fg/view,https://drive.google.com/file/d/1SmjaqC--qpWsmMVr_vhvFeXZEB2J322H/view
สระแก้ว,1,1,1,97584,97583,89613,3764,4207,88432,5988,3163,1,1NLlQEXi-J5Luf_X7U7ijgj7uvLLV0Dzf,1TB1SO6xXoxg7ywERAdraT9s8m7z69naP,https://drive.google.com/file/d/1NLlQEXi-J5Luf_X7U7ijgj7uvLLV0Dzf/view,https://drive.google.com/file/d/1TB1SO6xXoxg7ywERAdraT9s8m7z69naP/view
สุราษฎร์ธานี,3,-1,1,94207,94208,88689,2218,3300,89194,3047,1967,-1,12eDMagJqBomfmjsfyNQW8n3jyx8sJV8e,1MdwQShV5kz1oSgkNt_bkp9hVW_qOSFPU,https://drive.google.com/file/d/12eDMagJqBomfmjsfyNQW8n3jyx8sJV8e/view,https://drive.google.com/file/d/1MdwQShV5kz1oSgkNt_bkp9hVW_qOSFPU/view
สุรินทร์,4,1,1,85085,85084,80530,2402,2153,79794,3634,1656,1,1nB73PxQ4Nceg-M-MOA3P-Rc4C0iEWGtK,1XKV7pZH3zhjN3qMTyAzVgGqOiQTZOMDQ,https://drive.google.com/file/d/1nB73PxQ4Nceg-M-MOA3P-Rc4C0iEWGtK/view,https://drive.google.com/file/d/1XKV7pZH3zhjN3qMTyAzVgGqOiQTZOMDQ/view
สุโขทัย,4,-1,1,87668,87669,82780,2915,1973,80489,5164,2016,-1,1xGubpRvmNq6TroMYuuWSvLbR7j_eSPNB,1KtEsz-N3KAfZddZtM1B_sFPMJlOfKsXD,https://drive.google.com/file/d/1xGubpRvmNq6TroMYuuWSvLbR7j_eSPNB/view,https://drive.google.com/file/d/1KtEsz-N3KAfZddZtM1B_sFPMJlOfKsXD/view
