province,district_number,diff,abs_diff,const_total,party_total,const_valid,const_invalid,const_blank,party_valid,party_invalid,party_blank,killernay_diff,const_drive_id,party_drive_id,const_url,party_url
อุตรดิตถ์,2,-50,50,83064,83114,74942,3780,4342,74563,5243,3308,0,1C7X-Mz5lTfrrSMmgrA95MDVFTbyYrh_-,1fx1cHJBn41Py_WC7uxiwqTsRQnR4O50j,https://drive.google.com/file/d/1C7X-Mz5lTfrrSMmgrA95MDVFTbyYrh_-/view,https://drive.google.com/file/d/1fx1cHJBn41Py_WC7uxiwqTsRQnR4O50j/view
นครศรีธรรมราช,5,46,46,106715,106669,100294,2074,4347,100894,3098,2677,-11,1hqMrx5lWZkssz_dSPlcn3SS6xrQdKajZ,1soT_TqXpEYf184nVPomy4dwzFBYQVPW3,https://drive.google.com/file/d/1hqMrx5lWZkssz_dSPlcn3SS6xrQdKajZ/view,https://drive.google.com/file/d/1soT_TqXpEYf184nVPomy4dwzFBYQVPW3/view
นครสวรรค์,2,46,46,104181,104135,96980,3889,3312,94928,6300,2907,0,1XeWHpkeyRO-WChTNBrPJ9cilsVcfQZ7R,1uxpeyJsHI9u2yjsWyWbtznqCWqydgrq5,https://drive.google.com/file/d/1XeWHpkeyRO-WChTNBrPJ9cilsVcfQZ7R/view,https://drive.google.com/file/d/1uxpeyJsHI9u2yjsWyWbtznqCWqydgrq5/view
อุดรธานี,8,45,45,76246,76201,71066,2884,2296,70089,4385,1727,1,1Tc82r5UT_JNiO0g35d2W1eBFJ8Z2SZQZ,1w_SBbwaAtKrjiTr1Xpd9rtSj8awDJaAu,https://drive.google.com/file/d/1Tc82r5UT_JNiO0g35d2W1eBFJ8Z2SZQZ/view,https://drive.google.com/file/d/1w_SBbwaAtKrjiTr1Xpd9rtSj8awDJaAu/view
กรุงเทพมหานคร,11,-44,44,100368,100412,94994,1207,4167,96157,1769,2486,0,1MEEhXhNx4j9A17_xD92KmQ4e63SmhDpg,1Jn04KDYVmVblmPMmgIc_Z0Vnqjie9Zps,https://drive.google.com/file/d/1MEEhXhNx4j9A17_xD92KmQ4e63SmhDpg/view,https://drive.google.com/file/d/1Jn04KDYVmVblmPMmgIc_Z0Vnqjie9Zps/view
ร้อยเอ็ด,8,40,40,89205,89165,85433,2155,1617,84863,3126,1176,0,1NNCqHpPF_wvXJoJPilR0_Uv_tgWUjrMN,1DcJZYk_cv9elrpMzvyZJwJbwyq-nwJ_C,https://drive.google.com/file/d/1NNCqHpPF_wvXJoJPilR0_Uv_tgWUjrMN/view,https://drive.google.com/file/d/1DcJZYk_cv9elrpMzvyZJwJbwyq-nwJ_C/view
มหาสารคาม,4,37,37,84945,84908,80681,2959,1305,79657,4101,1150,-1,1ybMxyu9c8tJ4LDaM_BjHAyLMX_KVO3HW,1-m1GYDC8rHZ-h4Cp7eYpsHb4frFogqs4,https://drive.google.com/file/d/1ybMxyu9c8tJ4LDaM_BjHAyLMX_KVO3HW/view,https://drive.google.com/file/d/1-m1GYDC8rHZ-h4Cp7eYpsHb4frFogqs4/view
กรุงเทพมหานคร,5,30,30,96561,96531,90792,1289,4480,92858,1462,2211,2,12OhytfHmQj9DZwl72aJuFmjZtd5FQU-N,17KQ-MXVGSeRLj_TGp1R6zwTBBG_TKfOd,https://drive.google.com/file/d/12OhytfHmQj9DZwl72aJuFmjZtd5FQU-N/view,https://drive.google.com/file/d/17KQ-MXVGSeRLj_TGp1R6zwTBBG_TKfOd/view
มหาสารคาม,3,27,27,87676,87649,84786,2024,866,83169,3505,975,0,1j6dNC2Axb2waUo45Q22vGqueIE5eRikg,1m6p0W60L7ylSlN-MnOrzWw19qf8Pl_Dx,https://drive.google.com/file/d/1j6dNC2Axb2waUo45Q22vGqueIE5eRikg/view,https://drive.google.com/file/d/1m6p0W60L7ylSlN-MnOrzWw19qf8Pl_Dx/view
ตาก,2,-23,23,89186,89209,61640,9782,17764,78750,6051,4408,-23,14OLeBu0jiQhxyVdV9_Rlo29N-dYnlhVj,1LwrSoTyfxwwQg6jdanraUS2B1uq6Ju_U,https://drive.google.com/file/d/14OLeBu0jiQhxyVdV9_Rlo29N-dYnlhVj/view,https://drive.google.com/file/d/1LwrSoTyfxwwQg6jdanraUS2B1uq6Ju_U/view
มุกดาหาร,2,20,20,100884,100864,94225,3958,2701,93374,5240,2250,0,10S7jQLVcsKpZePi0j1nbJwlxceOeJFs7,1-Kb6C7orOGn7_e0Hb0-H7CslLQTUkH9T,https://drive.google.com/file/d/10S7jQLVcsKpZePi0j1nbJwlxceOeJFs7/view,https://drive.google.com/file/d/1-Kb6C7orOGn7_e0Hb0-H7CslLQTUkH9T/view
เชียงราย,1,14,14,109317,109303,98917,3599,6801,100279,4331,4693,14,1jQKVr5f340tAWgOlMCH_NRDeAfi0X2Oz,15wf6Sy82u-dBMxLe0YGDIE_nOJumc4TN,https://drive.google.com/file/d/1jQKVr5f340tAWgOlMCH_NRDeAfi0X2Oz/view,https://drive.google.com/file/d/15wf6Sy82u-dBMxLe0YGDIE_nOJumc4TN/view
กรุงเทพมหานคร,12,10,10,111029,111019,103439,1601,5989,106744,1499,2776,0,126l2phoIXU_8ORXIhxMCUGp1VhNEGEf9,17kN56fpRgdAKLnClJxTKRA74idHwxMCV,https://drive.google.com/file/d/126l2phoIXU_8ORXIhxMCUGp1VhNEGEf9/view,https://drive.google.com/file/d/17kN56fpRgdAKLnClJxTKRA74idHwxMCV/view
ระยอง,1,10,10,91421,91411,85091,2387,3943,86327,2322,2762,0,1egHzkfNT5KM524XgS80PCqOzfamz6_3g,1RxBl92eWFsLYeYnuNys7UwGRub9ODkE3,https://drive.google.com/file/d/1egHzkfNT5KM524XgS80PCqOzfamz6_3g/view,https://drive.google.com/file/d/1RxBl92eWFsLYeYnuNys7UwGRub9ODkE3/view
ร้อยเอ็ด,4,10,10,83975,83965,80404,1967,1604,79291,3340,1334,0,1mcDCxqGFttnYzpFRNJvZxdma4MiRU-k-,1WMlPUNDl0MMw2FKUkj9S8QOIIciPpJYO,https://drive.google.com/file/d/1mcDCxqGFttnYzpFRNJvZxdma4MiRU-k-/view,https://drive.google.com/file/d/1WMlPUNDl0MMw2FKUkj9S8QOIIciPpJYO/view
เชียงราย,2,-6,6,100731,100737,88811,6400,5520,91960,5143,3634,-6,1b9HrzIznfnXfCITbgKJxhr28nfc8Z5SV,1CgYBct2TonrVrvzzAdwQ24_B07hcmPLX,https://drive.google.com/file/d/1b9HrzIznfnXfCITbgKJxhr28nfc8Z5SV/view,https://drive.google.com/file/d/1CgYBct2TonrVrvzzAdwQ24_B07hcmPLX/view
ราชบุรี,3,5,5,110523,110518,96267,5970,8286,98075,6503,5940,0,1rEQ2O0RMpODU6MhwsjYRd8D94uxNXSbI,1VPSZqWXLeZ-r7i0UgEJe1Anv3cYOM0II,https://drive.google.com/file/d/1rEQ2O0RMpODU6MhwsjYRd8D94uxNXSbI/view,https://drive.google.com/file/d/1VPSZqWXLeZ-r7i0UgEJe1Anv3cYOM0II/view
หนองบัวลำภู,3,5,5,82630,82625,77865,2915,1850,76802,4279,1544,0,1oZuOEiibgaBlqkPiAqY0S1QUt92adlp1,1suatd5eSNP4iRyJnRIc9xiU540_eFunX,https://drive.google.com/file/d/1oZuOEiibgaBlqkPiAqY0S1QUt92adlp1/view,https://drive.google.com/file/d/1suatd5eSNP4iRyJnRIc9xiU540_eFunX/view
เชียงราย,3,-5,5,104922,104927,91475,8431,5016,95336,6268,3323,-5,1q5PAvVu5uBRuxlO7IrYT7eKuaXfHxr2A,11MCOPYWVqKmIAkt8f9dlnZZ3gaQgY-am,https://drive.google.com/file/d/1q5PAvVu5uBRuxlO7IrYT7eKuaXfHxr2A/view,https://drive.google.com/file/d/11MCOPYWVqKmIAkt8f9dlnZZ3gaQgY-am/view
เชียงใหม่,1,-5,5,103006,103011,93695,2478,6833,96338,2642,4031,-5,1NfltwwsfkpUzTIus-V2VMhCpOtuNiCQg,1YBTUUvGdAbBV0Nq4mwyvWrabD6be7uYe,https://drive.google.com/file/d/1NfltwwsfkpUzTIus-V2VMhCpOtuNiCQg/view,https://drive.google.com/file/d/1YBTUUvGdAbBV0Nq4mwyvWrabD6be7uYe/view
น่าน,3,-4,4,89541,89545,79242,5479,4820,81284,4915,3346,-3,12NuiOsfdjhX9CFXanbIf0kd6zTLMkh3E,1MFSF9N2MlPn1zgS_DDvrtE0KIYRgzmAj,https://drive.google.com/file/d/12NuiOsfdjhX9CFXanbIf0kd6zTLMkh3E/view,https://drive.google.com/file/d/1MFSF9N2MlPn1zgS_DDvrtE0KIYRgzmAj/view
หนองบัวลำภู,1,-4,4,91459,91463,86812,2315,2332,85052,4425,1986,-4,1q5gsnf_vzJJljLPV_DdE7mKd0SUo1PNM,17Ixe03oLcebA2rExiDKby-kf2Ic2TzK1,https://drive.google.com/file/d/1q5gsnf_vzJJljLPV_DdE7mKd0SUo1PNM/view,https://drive.google.com/file/d/17Ixe03oLcebA2rExiDKby-kf2Ic2TzK1/view
