province,district_number,drive_id,drive_url,name,parse_status,valid_votes,invalid_votes,blank_votes,row_count
นครราชสีมา,1,1Bl6JIV_bOBirycEt_zCAXRnXM614FnfJ,https://drive.google.com/file/d/1Bl6JIV_bOBirycEt_zCAXRnXM614FnfJ/view,อส.93.pdf,no-forms,,,,0
ราชบุรี,4,1AfH_fF3xWc811Va-b3nrsxcEUmWLRY4t,https://drive.google.com/file/d/1AfH_fF3xWc811Va-b3nrsxcEUmWLRY4t/view,"สส. 5ทับ18,สส. 5ทับ18 (บช).pdf",no-forms,,,,0
เชียงราย,6,1CWk61xcjWWaOzE-JWIRIEqa6W6YhizsD,https://drive.google.com/file/d/1CWk61xcjWWaOzE-JWIRIEqa6W6YhizsD/view,06-แม่สาย-ห้วยไคร้ (บช)..pdf,no-forms,,,,0
ราชบุรี,4,1Bm-0zsYIDTP8iRPx4MRN5l7FBirnIJ7C,https://drive.google.com/file/d/1Bm-0zsYIDTP8iRPx4MRN5l7FBirnIJ7C/view,"สส. 5ทับ18,สส. 5ทับ18 (บช).pdf",no-forms,,,,0
ศรีสะเกษ,1,1EVl0gVsTZF_tHDtrieV-tAT-82CD_GLq,https://drive.google.com/file/d/1EVl0gVsTZF_tHDtrieV-tAT-82CD_GLq/view,8.pdf,no-forms,,,,0
เชียงราย,6,1D_eWiEflgcY6-JSra1XBF8VaiZGNp93d,https://drive.google.com/file/d/1D_eWiEflgcY6-JSra1XBF8VaiZGNp93d/view,06-แม่สาย-ทต.แม่สาย-แบ่งเขต.pdf,no-forms,,,,0
เชียงราย,6,1DGQP_Yj4VAPIysvkXL05j31YtRi51yaz,https://drive.google.com/file/d/1DGQP_Yj4VAPIysvkXL05j31YtRi51yaz/view,06-แม่สาย-บ้านด้าย (บช).pdf,no-forms,,,,0
เชียงใหม่,1,1F1QnEk4TUZJQeqQ8lQYRkYEM84pdxmns,https://drive.google.com/file/d/1F1QnEk4TUZJQeqQ8lQYRkYEM84pdxmns/view,ต.พระสิงห์ (สส 5-18).pdf,no-forms,,,,0
สงขลา,2,1F9qY8b-hYXrNj54-f2SUNZ0WP2cv2om9,https://drive.google.com/file/d/1F9qY8b-hYXrNj54-f2SUNZ0WP2cv2om9/view,92 สส 5-17.pdf,no-forms,,,,0
นราธิวาส,3,1EtuwlcZnWSfHIieVHQz8yrFa7ilHUNB2,https://drive.google.com/file/d/1EtuwlcZnWSfHIieVHQz8yrFa7ilHUNB2/view,ทต.แว้ง-003-บช.pdf,no-forms,,,,0
ขอนแก่น,2,1FC72XfgjgvZPwXFnINb_MTCqLhCpmrkY,https://drive.google.com/file/d/1FC72XfgjgvZPwXFnINb_MTCqLhCpmrkY/view,ประชามติ 14.pdf,no-forms,,,,0
สมุทรปราการ,4,1F57U5ph_pFRf3sLIbP0JI_LiViiKV4RX,https://drive.google.com/file/d/1F57U5ph_pFRf3sLIbP0JI_LiViiKV4RX/view,สส. 5 ทับ 18 (บช).pdf,no-forms,,,,0
เชียงราย,6,1G4K1c7wBIfsOlpNsxn5C01fV_oPYBMHa,https://drive.google.com/file/d/1G4K1c7wBIfsOlpNsxn5C01fV_oPYBMHa/view,06-แม่สาย-ศรีเมืองชุม-แบ่งเขต.pdf,no-forms,,,,0
เชียงราย,6,1G9DrNUZUGCTz2ebDS0o3NO1lUYRjOD2c,https://drive.google.com/file/d/1G9DrNUZUGCTz2ebDS0o3NO1lUYRjOD2c/view,06-แม่สาย-โป่งผา (บช).pdf,no-forms,,,,0
สมุทรปราการ,4,1GOntxxlMmTWb-JlZeiFtClz5hljxWbxV,https://drive.google.com/file/d/1GOntxxlMmTWb-JlZeiFtClz5hljxWbxV/view,สส. 5 ทับ 18 (บช).pdf,no-forms,,,,0
เชียงราย,6,1GQdZMU4dObkCwk0cxWcN1xTy8jrCv5wE,https://drive.google.com/file/d/1GQdZMU4dObkCwk0cxWcN1xTy8jrCv5wE/view,06-แม่สาย-ทต.แม่สาย (บช).pdf,no-forms,,,,0
ขอนแก่น,2,1I8YQJKB_1e-gGcuNLt-gD5uBtr7DcmiF,https://drive.google.com/file/d/1I8YQJKB_1e-gGcuNLt-gD5uBtr7DcmiF/view,ประชามติ 6.pdf,no-forms,,,,0
ศรีสะเกษ,1,1HJ1AuwLgb0MP-btFKQ5mGX9pZbyRP8P6,https://drive.google.com/file/d/1HJ1AuwLgb0MP-btFKQ5mGX9pZbyRP8P6/view,7.pdf,no-forms,,,,0
สมุทรปราการ,4,1J4qAAa4wpk2dXTptrnbhStBxPzYcCrea,https://drive.google.com/file/d/1J4qAAa4wpk2dXTptrnbhStBxPzYcCrea/view,สส.5ทับ17 บช ชุด4.pdf,no-forms,,,,0
มหาสารคาม,1,1JPJgLVOmvy9ml7lPO1T5FjlhlBQ5203E,https://drive.google.com/file/d/1JPJgLVOmvy9ml7lPO1T5FjlhlBQ5203E/view,เกิ้ง-006-แบ่งเขต.pdf,no-forms,,,,0
เชียงใหม่,1,1IH2au3c1hK4vPaM0ET4K3WHB666H3oz9,https://drive.google.com/file/d/1IH2au3c1hK4vPaM0ET4K3WHB666H3oz9/view,ต.ป่าตัน (สส 5-18).pdf,no-forms,,,,0
ศรีสะเกษ,1,1JPUywnt4KjjECuo-5Mn3vyylksbupqJm,https://drive.google.com/file/d/1JPUywnt4KjjECuo-5Mn3vyylksbupqJm/view,8.pdf,no-forms,,,,0
สมุทรปราการ,4,1LgRsY6TxEvC8WGYAhNTKnUQenUpQo6CK,https://drive.google.com/file/d/1LgRsY6TxEvC8WGYAhNTKnUQenUpQo6CK/view,สส.5ทับ17 ชุด2.pdf,no-forms,,,,0
มหาสารคาม,1,1M2mQOJ38nkDUSfmAPXr-0-rm1nZR5EAs,https://drive.google.com/file/d/1M2mQOJ38nkDUSfmAPXr-0-rm1nZR5EAs/view,เกิ้ง-002-แบ่งเขต.pdf,no-forms,,,,0
นครราชสีมา,2,1MtuZlWBS1tN1r9dKiXpXxPxMbzcd3QZi,https://drive.google.com/file/d/1MtuZlWBS1tN1r9dKiXpXxPxMbzcd3QZi/view,7. สส.5-18 เขต.pdf,no-forms,,,,0
เชียงใหม่,1,1MIoSGiOgIlqNJqMyQjXKskkPawLT6TyH,https://drive.google.com/file/d/1MIoSGiOgIlqNJqMyQjXKskkPawLT6TyH/view,ต.หายยา (สส 5-18).pdf,no-forms,,,,0
เชียงใหม่,1,1MR6AgXrpu2vau5txfRlAarTkWReYm5Zp,https://drive.google.com/file/d/1MR6AgXrpu2vau5txfRlAarTkWReYm5Zp/view,ต.ช้างเผือก(เทศบาลนคร) (สส 5-18).pdf,no-forms,,,,0
นราธิวาส,3,1NgNuuFvqX53rzWvyfvvXEhWJcL45sIjB,https://drive.google.com/file/d/1NgNuuFvqX53rzWvyfvvXEhWJcL45sIjB/view,นราธิวาส-03-แบ่งเขต.pdf,no-forms,,,,0
